City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
137,Ponta Do Sol,PT,2/10/2022 15:47,32.67,-17.1,73.4,60,40,9.17
138,Broken Hill,AU,2/10/2022 15:47,-31.95,141.43,55.4,66,90,16.11
139,Salalah,OM,2/10/2022 15:47,17.02,54.09,82.4,65,0,2.24
140,Scarborough,GB,2/10/2022 15:47,54.28,-0.4,54,94,100,7
141,Stege,DK,2/10/2022 15:47,54.99,12.28,51.01,81,39,5.01
142,Ponta Delgada,PT,2/10/2022 15:47,37.73,-25.67,69.8,88,75,17.22
143,Paamiut,GL,2/10/2022 15:43,61.99,-49.67,28.11,86,100,9.44
144,Outjo,NA,2/10/2022 15:47,-20.12,16.15,87.08,25,73,11.54
145,Lengshuijiang,CN,2/10/2022 15:47,27.69,111.43,59.32,79,71,1.34
146,Kajaani,FI,2/10/2022 15:47,64.23,27.73,46.4,81,0,11.41
147,Nome,US,2/10/2022 15:43,64.5,-165.41,24.8,85,90,3.36
148,Kozuchow,PL,2/10/2022 15:47,51.75,15.59,48,40,13,9.51
149,Vaini,TO,2/10/2022 15:47,-21.2,-175.2,69.8,77,20,6.93
150,Awjilah,LY,2/10/2022 15:47,29.11,21.29,73.09,53,28,13.94
151,Mezen,RU,2/10/2022 15:46,65.85,44.24,42.55,90,100,13.18
152,Miandoab,IR,2/10/2022 15:47,36.97,46.1,62.6,23,0,2.24
153,Santiago Del Estero,AR,2/10/2022 15:47,-27.8,-64.26,76.01,18,21,7.85
154,Victoria,HK,2/10/2022 15:45,22.29,114.16,73.99,81,94,5.99
155,Vostok,RU,2/10/2022 15:47,46.49,135.88,31.35,100,100,3.6
156,Avarua,CK,2/10/2022 15:47,-21.21,-159.78,73.4,83,100,5.82
157,Radnevo,BG,2/10/2022 15:47,42.3,25.93,64.4,68,75,4.7
158,Vrangel,RU,2/10/2022 15:47,42.73,133.08,39.79,70,0,15.37
159,Leningradskiy,RU,2/10/2022 15:47,69.38,178.42,13.12,87,0,12.5
160,Progreso,MX,2/10/2022 15:47,21.28,-89.67,89.01,79,40,3.36
161,Norman Wells,CA,2/10/2022 15:47,65.28,-126.83,10.4,92,90,2.24
162,Manono,CD,2/10/2022 15:47,-7.3,27.42,76.6,80,99,2.82
163,Kudahuvadhoo,MV,2/10/2022 15:47,2.67,72.89,82.98,77,0,10.83
164,Narsaq,GL,2/10/2022 15:47,60.92,-46.05,32,89,75,2.64
165,Kahului,US,2/10/2022 15:47,20.89,-156.47,75.2,88,90,6.62
166,San Matias,BO,2/10/2022 15:47,-16.37,-58.4,94.73,42,96,7.67
167,Avera,US,2/10/2022 15:47,33.19,-82.53,80.01,88,90,16.11
168,Deputatskiy,RU,2/10/2022 15:47,69.3,139.9,1.22,93,97,1.25
169,Nouadhibou,MR,2/10/2022 15:47,20.93,-17.03,78.8,50,0,14.99
170,Shetpe,KZ,2/10/2022 15:47,44.17,52.12,48.83,45,100,24.05
171,Vila,PT,2/10/2022 15:47,42.03,-8.16,60.01,77,0,7
172,Tortoli,IT,2/10/2022 15:47,39.93,9.66,69.8,68,75,6.93
173,Kiama,AU,2/10/2022 15:47,-34.68,150.87,55,93,15,7.54
174,Limulunga,ZM,2/10/2022 15:47,-15.1,23.14,87.49,30,70,4.63
175,Saskylakh,RU,2/10/2022 15:47,71.92,114.08,-1.53,84,0,2.64
176,Llandrindod Wells,GB,2/10/2022 15:47,52.24,-3.38,57,91,100,13
177,Puerto Leguizamo,CO,2/10/2022 15:47,-0.19,-74.78,91.22,51,94,5.95
178,Mingaora,PK,2/10/2022 15:43,34.78,72.36,57.65,35,0,5.19
179,Provideniya,RU,2/10/2022 15:47,64.38,-173.3,23.05,89,0,6.78
