City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
238,Qandala,SO,11.47,49.87,79.74,67,0,7.09,clear sky,2/10/2022 19:37
239,Nushki,PK,29.55,66.02,45.82,52,0,0.76,clear sky,2/10/2022 19:37
240,Codrington,AU,-38.27,141.97,45.86,92,37,3.6,scattered clouds,2/10/2022 19:37
241,Kidal,ML,18.44,1.41,82,16,84,10.85,broken clouds,2/10/2022 19:37
242,Luwuk,ID,-0.95,122.79,77.59,74,100,3.18,light rain,2/10/2022 19:37
243,Vestmannaeyjar,IS,63.44,-20.27,42.8,75,20,10.29,few clouds,2/10/2022 19:37
244,Klaksvik,FO,62.23,-6.59,48.2,100,97,13.87,light rain,2/10/2022 19:37
245,Inuvik,CA,68.35,-133.72,1.4,77,79,1.12,broken clouds,2/10/2022 19:37
246,Tenosique,MX,17.48,-91.43,75.2,94,90,5.93,overcast clouds,2/10/2022 19:37
247,Paralimni,CY,35.04,33.98,71.6,73,20,8.05,few clouds,2/10/2022 19:37
248,Tuatapere,NZ,-46.13,167.68,53.01,72,48,4,scattered clouds,2/10/2022 19:37
249,Jasper,US,37.2,-94.35,64.99,31,1,12.75,clear sky,2/10/2022 19:34
250,Teguise,ES,29.06,-13.56,75.2,73,0,9.17,clear sky,2/10/2022 19:37
251,Baykit,RU,61.67,96.37,0.86,89,72,2.62,broken clouds,2/10/2022 19:37
252,Clyde River,CA,70.47,-68.59,14,92,75,14.99,light snow,2/10/2022 19:37
253,Nome,US,64.5,-165.41,8.6,78,1,7.38,clear sky,2/10/2022 19:36
254,Cape Coast,GH,5.11,-1.25,79.23,87,77,7.9,broken clouds,2/10/2022 19:37
255,Ayorou,NE,14.73,0.92,89.15,12,0,9.31,clear sky,2/10/2022 19:37
256,Manado,ID,1.49,124.85,77,94,20,2.24,few clouds,2/10/2022 19:32
257,Kudahuvadhoo,MV,2.67,72.89,82.85,73,41,6.53,scattered clouds,2/10/2022 19:37
258,Nuuk,GL,64.18,-51.72,20.41,91,99,4.03,overcast clouds,2/10/2022 19:37
259,Kamen-Rybolov,RU,44.75,132.04,45.61,77,32,12.86,scattered clouds,2/10/2022 19:37
260,Bereznik,RU,62.86,42.71,30.42,98,0,3.09,clear sky,2/10/2022 19:35
261,Grindavik,IS,63.84,-22.43,39.2,93,75,6.93,broken clouds,2/10/2022 19:33
262,Howard Springs,AU,-12.5,131.05,78.8,83,51,3.36,broken clouds,2/10/2022 19:37
263,Bosaso,SO,11.28,49.18,78.28,79,0,1.52,clear sky,2/10/2022 19:34
264,Fairbanks,US,64.84,-147.72,7,84,90,2.24,light snow,2/10/2022 19:32
265,Brodowski,BR,-20.98,-47.66,82.4,45,75,11.41,broken clouds,2/10/2022 19:35
266,Shawville,CA,45.6,-76.48,43,43,3,9.15,clear sky,2/10/2022 19:37
267,Haines Junction,CA,60.75,-137.51,14,72,100,4.7,snow,2/10/2022 19:37
268,Dauphin,CA,51.15,-100.05,26.6,73,90,24.16,overcast clouds,2/10/2022 19:37
269,Ulety,RU,51.36,112.48,22.24,93,78,7.74,broken clouds,2/10/2022 19:37
270,Sungaipenuh,ID,-2.08,101.38,64.06,93,100,1.25,light rain,2/10/2022 19:37
271,Kuandian,CN,40.73,124.78,42.12,93,10,2.82,clear sky,2/10/2022 19:37
272,Portales,US,34.19,-103.33,73,32,1,12.75,clear sky,2/10/2022 19:37
273,Excelsior Springs,US,39.34,-94.23,66.99,45,1,16.11,clear sky,2/10/2022 19:37
274,Pampas,PE,-12.4,-74.9,57.02,64,98,8.68,light rain,2/10/2022 19:37
275,Cangucu,BR,-31.39,-52.68,69.8,52,40,13.87,scattered clouds,2/10/2022 19:37
276,Jeremie,HT,18.65,-74.12,84.7,70,100,7.31,light rain,2/10/2022 19:37
277,Verkhoyansk,RU,67.54,133.38,-7.89,88,94,4.68,overcast clouds,2/10/2022 19:37
278,Valle Hermoso,MX,25.67,-97.83,81,50,20,5.82,few clouds,2/10/2022 19:37
279,Bambous Virieux,MU,-20.34,57.76,68,72,20,3.36,few clouds,2/10/2022 19:37
280,Dhidhdhoo,MV,6.88,73.1,82.94,69,74,6.13,broken clouds,2/10/2022 19:37
281,Makakilo City,US,21.35,-158.09,80.6,74,20,4,few clouds,2/10/2022 19:37
282,Ostersund,SE,63.18,14.64,36,93,97,11.41,overcast clouds,2/10/2022 19:37
283,Sola,VU,-13.88,167.55,82.4,83,75,9.17,broken clouds,2/10/2022 19:35
284,Barry,GB,51.41,-3.27,53.6,66,40,12.75,scattered clouds,2/10/2022 19:34
285,Petropavlovsk-Kamchatskiy,RU,53.05,158.65,39.2,64,40,11.18,scattered clouds,2/10/2022 19:37
286,Shimoda,JP,34.67,138.95,57.31,61,54,7.74,broken clouds,2/10/2022 19:37
287,Gazalkent,UZ,41.56,69.77,44.6,42,81,6.93,smoke,2/10/2022 19:37
288,Thompson,CA,55.74,-97.86,19.4,62,75,18.34,broken clouds,2/10/2022 19:37
289,Dunedin,NZ,-45.87,170.5,53.01,72,5,5.01,clear sky,2/10/2022 19:37
